feature,importance
oh_roll12_mean,0.0005258779
carbon_monoxide_mass_mixing_ratio_cumsum,0.0005258261
total_parking_minutes_roll3_max,0.00052480516
formaldehyde_cumsum,0.00052376086
nitrogen_dioxide_mass_mixing_ratio_roll12_std,0.0005215405
sea_salt_aerosol_003_05_mixing_ratio_roll12_min,0.0005213375
temperature_lag6,0.00051654945
hydrophobic_black_carbon_aerosol_mixing_ratio_lag2,0.0005158919
carbon_monoxide_mass_mixing_ratio_roll6_min,0.0005134516
oh_ewm12,0.00050918345
sulphate_aerosol_mixing_ratio_roll12_min,0.00050517597
total_parking_minutes_lag12,0.0005033005
temperature_roll24_std,0.0004978611
isoprene_pct_change3,0.00049613806
sea_salt_aerosol_5_20_mixing_ratio_roll12_max,0.0004956679
total_parking_minutes_pct_change1,0.0004949877
ethane_roll12_std,0.0004941613
metar_visibility_mi_roll6_max,0.00049353833
hno3_roll2_max,0.00048852665
ethane_roll3_mean,0.00048678418
hno3_diff12,0.00048633298
total_parking_minutes_diff12,0.0004859374
metar_temperature_c_roll6_min,0.00048495835
carbon_monoxide_mass_mixing_ratio_lag1,0.00048476926
hydrophobic_organic_matter_aerosol_mixing_ratio_roll12_std,0.0004823892
specific_humidity_roll24_min,0.00048130998
hydrophobic_black_carbon_aerosol_mixing_ratio_roll3_std,0.00047588433
total_parking_minutes_ewm3,0.0004757911
sea_salt_aerosol_05_5_mixing_ratio_roll3_mean,0.00047572955
carbon_monoxide_mass_mixing_ratio_ewm3,0.0004742682
nitrogen_dioxide_mass_mixing_ratio_ewm3,0.00047396673
sulphate_aerosol_mixing_ratio_roll6_max,0.00047332532
total_parking_minutes_roll12_kurt,0.0004726223
sea_salt_aerosol_003_05_mixing_ratio_roll3_mean,0.00047129422
sea_salt_aerosol_05_5_mixing_ratio_roll12_max,0.00047085114
isoprene_ewm6,0.00046937302
metar_temperature_c_roll12_std,0.00046898983
sulphate_aerosol_mixing_ratio_roll6_min,0.00046805775
metar_hour_precipitation_roll24_mean,0.0004649005
sea_salt_aerosol_5_20_mixing_ratio_ewm12,0.00046218582
ethane_cumsum,0.0004618224
specific_humidity_roll2_max,0.0004578607
ethane_roll6_min,0.00045614646
metar_dew_point_c_roll12_skew,0.00045556822
hydrophilic_organic_matter_aerosol_mixing_ratio_roll12_mean,0.00045452392
temperature_roll6_max,0.00045370377
hydrophobic_organic_matter_aerosol_mixing_ratio_roll12_mean,0.0004536167
temperature_roll12_max,0.00045294614
total_parking_minutes_roll3_min,0.00044695233
total_parking_minutes_roll12_skew,0.00044601664
sea_salt_aerosol_05_5_mixing_ratio_roll6_max,0.00044569082
hydrophobic_black_carbon_aerosol_mixing_ratio_roll24_std,0.000444284
ozone_mass_mixing_ratio,0.00044025417
