feature,importance
dust_aerosol_055_09_mixing_ratio_cummean,0.0011025005
hno3_cumsum,0.0011015915
formaldehyde_roll24_std,0.001097213
sea_salt_aerosol_5_20_mixing_ratio_roll24_std,0.0010948553
sea_salt_aerosol_003_05_mixing_ratio_roll6_min,0.0010846409
specific_humidity_cumsum,0.001082557
h2o2_roll12_min,0.0010810025
hydrophilic_black_carbon_aerosol_mixing_ratio_roll24_max,0.0010793915
specific_humidity_roll24_min,0.0010729168
dust_aerosol_09_20_mixing_ratio_roll12_min,0.001067172
hydrophilic_organic_matter_aerosol_mixing_ratio_roll6_mean,0.0010506526
temperature_roll12_max,0.0010499187
specific_humidity_roll24_mean,0.0010451495
total_parking_minutes_cummean,0.0010451402
specific_humidity_roll3_min,0.001038706
total_parking_minutes_roll12_max,0.001037405
metar_visibility_mi_cumsum,0.001037345
oh_roll24_std,0.001034841
hydrophobic_organic_matter_aerosol_mixing_ratio_cummean,0.0010332904
dust_aerosol_055_09_mixing_ratio_roll24_min,0.0010327777
hydrophilic_black_carbon_aerosol_mixing_ratio_cumsum,0.0010310486
isoprene_cumsum,0.0010295914
metar_dew_point_c_roll24_min,0.0010290036
metar_relative_humidity_roll24_max,0.0010284287
formaldehyde_roll12_max,0.0010281204
hydrophobic_black_carbon_aerosol_mixing_ratio_roll24_min,0.0010238659
carbon_monoxide_mass_mixing_ratio_roll24_min,0.0010181529
metar_visibility_mi_roll12_mean,0.0010103035
total_parking_minutes_roll12_std,0.0010102728
hydrophobic_organic_matter_aerosol_mixing_ratio_roll12_min,0.0010084
dust_aerosol_003_055_mixing_ratio_roll24_min,0.0010080326
isoprene_roll12_min,0.0010025898
metar_dew_point_c_roll12_max,0.0009968124
hydrophobic_organic_matter_aerosol_mixing_ratio_roll24_min,0.0009940048
sea_salt_aerosol_003_05_mixing_ratio_roll3_mean,0.0009819823
hydrophobic_black_carbon_aerosol_mixing_ratio_cumsum,0.0009817402
organic_nitrates_cumstd,0.0009718713
organic_nitrates_roll24_min,0.0009717903
hydrophilic_black_carbon_aerosol_mixing_ratio_roll24_mean,0.0009695788
hno3_roll12_max,0.0009691394
